Array Length,Merge Sort Avg,Quicksort Avg,Counting Sort Avg,Radix Sort Avg,QR Sort Avg
10000,1.04417,0.85967,3.39175,0.86421,0.59683
20000,1.61251,1.0616,2.3464,0.73018,0.37305
30000,2.61205,1.71556,1.56083,0.88056,0.39546
40000,3.44511,2.26084,0.85475,0.93448,0.49811
50000,4.5211,2.86947,1.34746,1.16339,0.6624
60000,5.00058,3.40915,1.22042,1.3179,0.68288
70000,5.89032,4.02313,1.41472,1.683,1.03989
80000,6.67658,4.51403,1.79457,1.82126,1.0109
90000,7.62532,5.16338,1.16653,2.01756,1.03985
100000,8.59205,5.80518,1.25316,2.39285,1.32111
110000,9.48597,6.43377,1.4016,2.44081,1.27891
120000,10.33011,7.06868,1.26697,2.66811,1.39495
130000,11.43975,7.66948,1.51319,2.91055,1.55665
140000,12.12401,8.29023,1.41352,3.11357,1.61335
150000,13.1665,8.96976,1.52477,3.32571,1.77163
160000,13.89948,9.65553,1.49344,3.51491,1.89782
170000,14.99768,10.23526,1.56975,3.82134,2.05161
180000,15.71012,10.8676,1.99803,4.00888,2.17276
190000,16.61335,11.52533,1.90903,4.25569,2.22544
200000,18.38164,12.25501,1.77493,5.36335,2.94755
210000,18.69219,12.82905,1.84852,4.71109,2.45189
220000,19.63482,13.45076,2.3003,4.87422,2.58773
230000,20.38949,14.03642,2.03596,5.08037,2.68437
240000,21.49496,14.91098,2.09415,5.23428,2.88472
250000,22.34261,15.44251,2.14647,5.58878,2.98883
260000,23.23426,16.20615,2.43917,5.89965,3.07769
270000,24.48192,16.99145,2.21452,6.05822,3.22048
280000,25.34199,17.48967,2.49837,6.26857,3.26926
290000,26.30207,18.1503,2.38115,6.52096,3.43922
300000,27.39015,18.92457,2.67945,6.70474,3.58359
310000,28.36957,19.58555,2.71241,6.9917,3.75447
320000,29.33205,20.15537,2.6314,7.21581,3.80867
330000,30.40884,21.01789,3.20887,7.86879,3.9699
340000,31.85465,21.4995,3.51073,7.69155,4.20783
350000,35.70332,23.25406,3.70814,9.62992,5.25459
360000,40.96052,24.36188,6.27016,12.2576,6.00289
370000,41.70018,28.74627,8.38438,13.00754,7.28047
380000,35.61127,24.27506,3.49991,8.92818,4.65486
390000,36.71111,25.37568,3.36319,9.11807,5.12605
400000,37.67403,25.74661,3.35896,9.31354,4.89492
410000,38.54623,26.2215,3.50749,9.29968,5.06178
420000,39.47739,26.87071,3.5055,9.63123,5.15607
430000,40.40038,27.62121,3.55262,9.83301,5.49823
440000,41.72475,28.29691,3.82008,9.959,5.39079
450000,42.60518,29.15115,3.81272,10.41242,5.61173
460000,43.47849,29.68231,4.58842,10.28328,6.25419
470000,44.72586,30.42014,4.24483,10.89548,6.20309
480000,45.55938,31.18304,3.96555,11.08602,5.69922
490000,46.45256,31.77891,4.27226,11.28693,6.04351
500000,47.62885,32.67687,4.32263,11.6156,6.2056
510000,48.6376,33.18322,4.44364,11.74476,6.3121
520000,49.57902,34.04804,4.49663,12.18656,6.54932
530000,50.61925,34.63847,4.70927,12.77639,6.56258
540000,51.75318,35.33005,4.8412,13.11832,6.5832
550000,52.65626,35.87232,4.90096,13.36401,6.89523
560000,53.47354,36.71552,5.05875,13.92674,7.0318
570000,54.91174,37.22313,5.63223,14.13651,7.06419
580000,55.51018,37.8608,5.4731,14.31421,7.25828
590000,56.28575,38.58936,5.7656,14.54752,7.4315
600000,57.64195,39.09201,5.79812,14.69674,7.66397
610000,58.75165,40.27844,5.90456,15.17318,7.44717
620000,59.50695,41.01961,6.12714,15.60304,8.01382
630000,60.58478,41.52513,6.4265,15.60451,8.22232
640000,61.98219,42.31559,6.26766,16.26189,8.59053
650000,62.4917,42.8681,6.43198,16.44987,8.42016
660000,63.44382,43.69421,6.60979,16.61493,8.44806
670000,64.68204,44.747,6.54217,17.00019,9.43516
680000,65.63948,45.11558,7.37189,16.77559,8.58452
690000,67.0158,45.71485,6.96242,17.50039,9.18758
700000,67.7712,46.44182,7.3993,17.99394,10.23347
710000,68.88608,47.13888,7.59075,18.67481,9.6773
720000,69.56737,47.98134,7.96782,18.52481,9.62083
730000,70.7846,48.51274,7.71834,19.12277,10.33252
740000,72.34365,49.25832,7.66794,19.3665,10.54099
750000,74.58326,49.76099,8.18505,19.38631,9.98593
760000,73.52324,50.64825,8.789,19.79635,10.40797
770000,74.78461,51.16009,9.18847,20.35192,10.78496
780000,75.49224,51.9792,9.04736,20.50756,10.95726
790000,76.76655,52.58343,9.60412,21.65243,11.51668
800000,77.80073,53.70557,8.87285,21.92545,11.67529
810000,79.02578,54.09845,9.48858,21.81663,11.63287
820000,80.15874,55.0385,9.85901,22.18439,12.35154
830000,81.60249,55.58025,10.32284,23.05085,12.6569
840000,82.3575,56.26191,10.75404,23.32681,12.90258
850000,83.54059,56.81299,10.79667,24.19802,13.81694
860000,84.52105,57.72521,10.97425,24.67539,13.29853
870000,85.59305,58.72532,11.08084,24.781,14.42195
880000,86.40986,59.18616,11.59731,25.47209,14.86485
890000,87.30941,59.81171,11.59642,26.07183,15.64
900000,88.19733,60.79644,12.00923,26.83454,15.87489
910000,88.87155,61.36637,12.80886,28.19513,15.88826
920000,89.92376,61.95422,12.42014,27.78747,16.94681
930000,91.21569,62.38775,12.86563,28.40006,17.37311
940000,92.4418,63.4158,13.16205,29.32846,19.32395
950000,93.53058,63.9645,13.23305,29.99714,18.21282
960000,96.44782,65.11414,15.17985,33.37568,21.26165
970000,97.54553,66.61252,15.24689,33.58402,21.97162
980000,102.83025,68.10874,19.5043,37.76941,24.84822
990000,100.10004,67.84975,14.73125,33.49086,21.52816
1000000,99.38336,68.04595,16.06753,24.52029,18.41573
